sku,price,special_price
KIDSAI1143,3795,3040
KIDSAI1144,5095,4080
KIDSAI1145,4045,3240
KIDSAI1146,6195,4960
KIDSAI1147,6195,4960
KIDSAI1148,5095,4080
GWAI1162,5569,4460
GWAI1163,4939,3955
GWAI1164,5359,4290
GWAI1165,5128,4105
GWAI1166,4939,3955
GWAI1167,5495,4400
GWAI1168,5233,4190
GWAI1169,4939,3955
GWAI1170,5233,4190
GWAI1171,4939,3955
GWAI1172,4939,3955
