sku,position,,,,,,,
CCAE1674,477,,,,,,,
PCCAA3543,478,,,,,,,
PSAAD4683,479,,,,,,,
PSAAD5457,480,,,,,,,
SAAC3932,481,,,,,,,
SAAC3969,482,,,,,,,
SKDAA10713,483,,,,,,,
SKDAB1297,484,,,,,,,
SKDAC1365,485,,,,,,,
SKDAD1893,486,,,,,,,
KRTAA0279,487,,,,,,,
CCAA4127,488,,,,,,,
PCCAA3444,489,,,,,,,
PCCAA3755,490,,,,,,,
PKRTAE1063,491,,,,,,,
SAAD4849,492,,,,,,,
SAAD5470,493,,,,,,,
SAAE7526,494,,,,,,,
PSAAD5120,495,,,,,,,
SAAC4260,496,,,,,,,
SAAD6243,497,,,,,,,
SKDAA15494,498,,,,,,,
SKDAD1910,499,,,,,,,
CCAC1380,500,,,,,,,
PSAAD5210,501,,,,,,,
SAAC4121,502,,,,,,,
SAAD6076,503,,,,,,,
SAAE7748,504,,,,,,,
SKDAA17081,505,,,,,,,
SKDAA17610,506,,,,,,,
SKDAA17677,507,,,,,,,
PSAAD4438,508,,,,,,,
CCAE1575,509,,,,,,,
PSAAC2909,510,,,,,,,
PSAAD5922,511,,,,,,,
SAAA28887,512,,,,,,,
SAAD5742,513,,,,,,,
SAAD6113,514,,,,,,,
SAAD6129,515,,,,,,,
SAAD6389,516,,,,,,,
SAAD6568,517,,,,,,,
SKDAC1529,518,,,,,,,
SKDAD1831,519,,,,,,,
ACAA1475,520,,,,,,,
CCAA1754,521,,,,,,,
CCAA4070,522,,,,,,,
CCAA4112,523,,,,,,,
CCAC1470,524,,,,,,,
PSAAA29376,525,,,,,,,
PSAAC4214,526,,,,,,,
PSAAD4937,527,,,,,,,
PSAAD6800,528,,,,,,,
SAAA30073,529,,,,,,,
SAAB1291,530,,,,,,,
SAAD5736,531,,,,,,,
SAAD6196,532,,,,,,,
SKDAA14033,533,,,,,,,
CCAC1437,534,,,,,,,
CCAE1667,535,,,,,,,
PCCAA4007,536,,,,,,,
PSAAD4691,537,,,,,,,
SAAA28640,538,,,,,,,
SAAA29169,539,,,,,,,
SAAB1675,540,,,,,,,
SAAD4908,541,,,,,,,
SAAE7394,542,,,,,,,
SAAE7407,543,,,,,,,
SKDAA16697,544,,,,,,,
SKDAA17548,545,,,,,,,
SKDAD1694,546,,,,,,,
ACAA1365,547,,,,,,,
CCAA4128,548,,,,,,,
PSAAC4392,549,,,,,,,
SAAD5482,550,,,,,,,
SAAD6131,551,,,,,,,
SKDAC1361,552,,,,,,,
SKDAD1723,553,,,,,,,
SKDAD1727,554,,,,,,,
ACAA1325,555,,,,,,,
SAAA22501,556,,,,,,,
CCAC1446,557,,,,,,,
PSAAD6522,558,,,,,,,
PSAAE7571,559,,,,,,,
PSKDAA15773,560,,,,,,,
SAAD5479,561,,,,,,,
SAAE7521,562,,,,,,,
SKDAA16701,563,,,,,,,
SKDAB1248,564,,,,,,,
SAAD5570,565,,,,,,,
PSKDAA16176,566,,,,,,,
PSKDAE2042,567,,,,,,,
SAAA28884,568,,,,,,,
SAAA29396,569,,,,,,,
SAAD5469,570,,,,,,,
SAAE7780,571,,,,,,,
SKDAD1912,572,,,,,,,
CCAE1666,573,,,,,,,
PKRTAE1068,574,,,,,,,
SAAD5738,575,,,,,,,
SAAD6070,576,,,,,,,
SKDAA17679,577,,,,,,,
SKDAC1368,578,,,,,,,
SKDAD1864,579,,,,,,,
SKDAE2050,580,,,,,,,
SKDAE2282,581,,,,,,,
CCAE1577,582,,,,,,,
PSAAD4929,583,,,,,,,
SAAD4873,584,,,,,,,
SAAD6063,585,,,,,,,
SAAD6415,586,,,,,,,
SKDAD1770,587,,,,,,,
CCAC1213,588,,,,,,,
PSAAD6641,589,,,,,,,
SAAD6396,590,,,,,,,
SAAE7525,591,,,,,,,
SKDAD1776,592,,,,,,,
CCAA4069,593,,,,,,,
CCAB1118,594,,,,,,,
CCAC1219,595,,,,,,,
PSAAA25951,596,,,,,,,
PSAAD4930,597,,,,,,,
PSAAD6497,598,,,,,,,
PSAAD6823,599,,,,,,,
SAAA27375,600,,,,,,,
SAAA27799,601,,,,,,,
SAAA29830,602,,,,,,,
SAAA29980,603,,,,,,,
SAAD6124,604,,,,,,,
SAAD6245,605,,,,,,,
SAAE7035,606,,,,,,,
SKDAA14034,607,,,,,,,
SKDAD1928,608,,,,,,,
PCCAE1583,609,,,,,,,
PSAAD4549,610,,,,,,,
PSAAD6530,611,,,,,,,
SAAD4857,612,,,,,,,
SAAD5739,613,,,,,,,
SKDAA14910,614,,,,,,,
CCAB1105,615,,,,,,,
PSAAA26598,616,,,,,,,
PSAAC4301,617,,,,,,,
PSAAD4619,618,,,,,,,
SAAA27389,619,,,,,,,
SAAA28113,620,,,,,,,
SAAC3967,621,,,,,,,
SAAE7320,622,,,,,,,
SAAE7518,623,,,,,,,
SAAE7700,624,,,,,,,
SKDAB1296,625,,,,,,,
CCAB1117,626,,,,,,,
CCAC1331,627,,,,,,,
PSAAD4933,628,,,,,,,
PSKDAC1533,629,,,,,,,
SAAA29634,630,,,,,,,
SAAD4865,631,,,,,,,
SAAD5507,632,,,,,,,
SAAD6125,633,,,,,,,
SAAE7708,634,,,,,,,
CCAE1557,635,,,,,,,
PSAAA27326,636,,,,,,,
SAAD4662,637,,,,,,,
SAAD4840,638,,,,,,,
SAAD5466,639,,,,,,,
SKDAA14237,640,,,,,,,
SKDAC1578,641,,,,,,,
SKDAE1939,642,,,,,,,
CCAC1316,643,,,,,,,
CCAC1497,644,,,,,,,
PKRTAE1020,645,,,,,,,
PSAAB1141,646,,,,,,,
PSAAC2857,647,,,,,,,
SAAA27476,648,,,,,,,
SAAD4858,649,,,,,,,
SAAD5467,650,,,,,,,
CCAA3935,651,,,,,,,
CCAC1333,652,,,,,,,
KIDSAE1090,653,,,,,,,
PGWAA0439,654,,,,,,,
SAAA21181,655,,,,,,,
SAAA27567,656,,,,,,,
SAAD5485,657,,,,,,,
SAAD5487,658,,,,,,,
SAAD6119,659,,,,,,,
SAAD6126,660,,,,,,,
SAAE7676,661,,,,,,,
SKDAA15041,662,,,,,,,
SKDAA17564,663,,,,,,,
CCAC1347,664,,,,,,,
PSAAD5127,665,,,,,,,
PSKDAE2046,666,,,,,,,
SAAA29844,667,,,,,,,
SAAD5252,668,,,,,,,
SAAD6398,669,,,,,,,
SAAE7519,670,,,,,,,
SKDAA17305,671,,,,,,,
SKDAD1801,672,,,,,,,
SKDAD1877,673,,,,,,,
ACAA1262,674,,,,,,,
CCAA4068,675,,,,,,,
SAAD4870,676,,,,,,,
SAAE7387,677,,,,,,,
SKDAA14889,678,,,,,,,
SKDAA17170,679,,,,,,,
