Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
ARE,*,*,9500.0000,2611.0000
ARE,*,*,10000.0000,2748.0000
ARE,*,*,11000.0000,3023.0000
ARE,*,*,12000.0000,3298.0000
ARE,*,*,13000.0000,3572.0000
ARE,*,*,14000.0000,3847.0000
ARE,*,*,15000.0000,4122.0000
ARE,*,*,16000.0000,4397.0000
ARE,*,*,17000.0000,4672.0000
ARE,*,*,18000.0000,4946.0000
ARE,*,*,19000.0000,5221.0000
ARE,*,*,20000.0000,5496.0000
ARE,*,*,21000.0000,5771.0000
ARE,*,*,22000.0000,6046.0000
ARE,*,*,23000.0000,6320.0000
ARE,*,*,24000.0000,6595.0000
ARE,*,*,25000.0000,6870.0000
ARE,*,*,26000.0000,7145.0000
ARE,*,*,27000.0000,7420.0000
ARE,*,*,28000.0000,7694.0000
ARE,*,*,29000.0000,7969.0000
ARE,*,*,30000.0000,8244.0000
ARE,*,*,31000.0000,8519.0000
ARE,*,*,32000.0000,8794.0000
ARE,*,*,33000.0000,9068.0000
ARE,*,*,34000.0000,9343.0000
ARE,*,*,35000.0000,9618.0000
ARE,*,*,36000.0000,9893.0000
ARE,*,*,37000.0000,10168.0000
ARE,*,*,38000.0000,10442.0000
ARE,*,*,39000.0000,10717.0000
ARE,*,*,40000.0000,10992.0000
ARE,*,*,41000.0000,11267.0000
ARE,*,*,42000.0000,11542.0000
ARE,*,*,43000.0000,11816.0000
ARE,*,*,44000.0000,12091.0000
ARE,*,*,45000.0000,12366.0000
ARE,*,*,46000.0000,12641.0000
ARE,*,*,47000.0000,12916.0000
ARE,*,*,48000.0000,13190.0000
ARE,*,*,49000.0000,13465.0000
ARE,*,*,50000.0000,13740.0000
ARG,*,*,500.0000,1992.0000
ARG,*,*,1000.0000,1992.0000
ARG,*,*,1500.0000,2542.0000
ARG,*,*,2000.0000,3023.0000
ARG,*,*,2500.0000,3504.0000
ARG,*,*,3000.0000,3985.0000
ARG,*,*,3500.0000,4534.0000
ARG,*,*,4000.0000,5015.0000
ARG,*,*,4500.0000,5496.0000
ARG,*,*,5000.0000,6046.0000
ARG,*,*,5500.0000,6527.0000
ARG,*,*,6000.0000,7007.0000
ARG,*,*,6500.0000,7557.0000
ARG,*,*,7000.0000,8038.0000
ARG,*,*,7500.0000,8519.0000
ARG,*,*,8000.0000,9068.0000
ARG,*,*,8500.0000,9549.0000
ARG,*,*,9000.0000,10030.0000
ARG,*,*,9500.0000,10580.0000
ARG,*,*,10000.0000,11061.0000
ARG,*,*,11000.0000,12229.0000
ARG,*,*,12000.0000,13397.0000
ARG,*,*,13000.0000,14564.0000
ARG,*,*,14000.0000,15732.0000
ARG,*,*,15000.0000,16900.0000
ARG,*,*,16000.0000,17972.0000
ARG,*,*,17000.0000,19044.0000
ARG,*,*,18000.0000,20115.0000
ARG,*,*,19000.0000,21187.0000
ARG,*,*,20000.0000,22259.0000
ARG,*,*,21000.0000,23331.0000
ARG,*,*,22000.0000,24402.0000
ARG,*,*,23000.0000,25474.0000
ARG,*,*,24000.0000,26546.0000
ARG,*,*,25000.0000,27617.0000
ARG,*,*,26000.0000,28648.0000
ARG,*,*,27000.0000,29678.0000
ARG,*,*,28000.0000,30709.0000
ARG,*,*,29000.0000,31739.0000
ARG,*,*,30000.0000,32770.0000
ARG,*,*,31000.0000,33800.0000
ARG,*,*,32000.0000,34831.0000
ARG,*,*,33000.0000,35861.0000
ARG,*,*,34000.0000,36892.0000
ARG,*,*,35000.0000,37922.0000
ARG,*,*,36000.0000,38953.0000
ARG,*,*,37000.0000,39983.0000
ARG,*,*,38000.0000,41014.0000
ARG,*,*,39000.0000,42044.0000
ARG,*,*,40000.0000,43075.0000
ARG,*,*,41000.0000,44105.0000
ARG,*,*,42000.0000,45136.0000
ARG,*,*,43000.0000,46166.0000
ARG,*,*,44000.0000,47197.0000
ARG,*,*,45000.0000,48227.0000
ARG,*,*,46000.0000,49258.0000
ARG,*,*,47000.0000,50288.0000
ARG,*,*,48000.0000,51319.0000
ARG,*,*,49000.0000,52349.0000
ARG,*,*,50000.0000,53380.0000
ARM,*,*,500.0000,1992.0000
ARM,*,*,1000.0000,1992.0000
ARM,*,*,1500.0000,2267.0000
ARM,*,*,2000.0000,2611.0000
ARM,*,*,2500.0000,2954.0000
ARM,*,*,3000.0000,3366.0000
ARM,*,*,3500.0000,3710.0000
ARM,*,*,4000.0000,4122.0000
ARM,*,*,4500.0000,4534.0000
ARM,*,*,5000.0000,4946.0000
ARM,*,*,5500.0000,5359.0000
ARM,*,*,6000.0000,5771.0000
ARM,*,*,6500.0000,6183.0000
ARM,*,*,7000.0000,6595.0000
ARM,*,*,7500.0000,7007.0000
ARM,*,*,8000.0000,7420.0000
ARM,*,*,8500.0000,7832.0000
ARM,*,*,9000.0000,8244.0000
ARM,*,*,9500.0000,8656.0000
ARM,*,*,10000.0000,9068.0000
ARM,*,*,11000.0000,10030.0000
ARM,*,*,12000.0000,10992.0000
ARM,*,*,13000.0000,11954.0000
ARM,*,*,14000.0000,12916.0000
ARM,*,*,15000.0000,13877.0000
ARM,*,*,16000.0000,14757.0000
ARM,*,*,17000.0000,15636.0000
ARM,*,*,18000.0000,16515.0000
ARM,*,*,19000.0000,17395.0000
ARM,*,*,20000.0000,18274.0000
ARM,*,*,21000.0000,19154.0000
ARM,*,*,22000.0000,20033.0000
ARM,*,*,23000.0000,20912.0000
ARM,*,*,24000.0000,21792.0000
ARM,*,*,25000.0000,22671.0000
ARM,*,*,26000.0000,23523.0000
ARM,*,*,27000.0000,24375.0000
ARM,*,*,28000.0000,25227.0000
ARM,*,*,29000.0000,26079.0000
ARM,*,*,30000.0000,26930.0000
ARM,*,*,31000.0000,27782.0000
ARM,*,*,32000.0000,28634.0000
ARM,*,*,33000.0000,29486.0000
ARM,*,*,34000.0000,30338.0000
ARM,*,*,35000.0000,31190.0000
ARM,*,*,36000.0000,32042.0000
ARM,*,*,37000.0000,32894.0000
ARM,*,*,38000.0000,33745.0000
ARM,*,*,39000.0000,34597.0000
ARM,*,*,40000.0000,35449.0000
ARM,*,*,41000.0000,36301.0000
ARM,*,*,42000.0000,37153.0000
ARM,*,*,43000.0000,38005.0000
ARM,*,*,44000.0000,38857.0000
ARM,*,*,45000.0000,39709.0000
ARM,*,*,46000.0000,40560.0000
ARM,*,*,47000.0000,41412.0000
ARM,*,*,48000.0000,42264.0000
ARM,*,*,49000.0000,43116.0000
ARM,*,*,50000.0000,43968.0000
AUS,*,*,500.0000,889.0000
AUS,*,*,1000.0000,889.0000
AUS,*,*,1500.0000,1026.0000
AUS,*,*,2000.0000,1231.0000
AUS,*,*,2500.0000,1368.0000
AUS,*,*,3000.0000,1505.0000
AUS,*,*,3500.0000,1710.0000
AUS,*,*,4000.0000,2189.0000
AUS,*,*,4500.0000,2668.0000
AUS,*,*,5000.0000,3092.0000
AUS,*,*,5500.0000,3283.0000
AUS,*,*,6000.0000,3352.0000
AUS,*,*,6500.0000,3488.0000
AUS,*,*,7000.0000,3557.0000
AUS,*,*,7500.0000,3625.0000
AUS,*,*,8000.0000,3762.0000
AUS,*,*,8500.0000,3830.0000
AUS,*,*,9000.0000,3899.0000
AUS,*,*,9500.0000,3967.0000
AUS,*,*,10000.0000,4104.0000
AUS,*,*,11000.0000,4514.0000
AUS,*,*,12000.0000,4925.0000
AUS,*,*,13000.0000,5335.0000
AUS,*,*,14000.0000,5746.0000
AUS,*,*,15000.0000,6156.0000
AUS,*,*,16000.0000,6553.0000
AUS,*,*,17000.0000,6949.0000
AUS,*,*,18000.0000,7346.0000
AUS,*,*,19000.0000,7743.0000
AUS,*,*,20000.0000,8140.0000
AUS,*,*,21000.0000,8536.0000
AUS,*,*,22000.0000,8933.0000
AUS,*,*,23000.0000,9330.0000
AUS,*,*,24000.0000,9726.0000
AUS,*,*,25000.0000,10123.0000
AUS,*,*,26000.0000,10506.0000
AUS,*,*,27000.0000,10889.0000
AUS,*,*,28000.0000,11272.0000
AUS,*,*,29000.0000,11655.0000
AUS,*,*,30000.0000,12038.0000
AUS,*,*,31000.0000,12421.0000
AUS,*,*,32000.0000,12804.0000
AUS,*,*,33000.0000,13188.0000
AUS,*,*,34000.0000,13571.0000
AUS,*,*,35000.0000,13954.0000
AUS,*,*,36000.0000,14337.0000
AUS,*,*,37000.0000,14720.0000
AUS,*,*,38000.0000,15103.0000
AUS,*,*,39000.0000,15486.0000
AUS,*,*,40000.0000,15869.0000
AUS,*,*,41000.0000,16252.0000
AUS,*,*,42000.0000,16635.0000
AUS,*,*,43000.0000,17018.0000
AUS,*,*,44000.0000,17401.0000
AUS,*,*,45000.0000,17784.0000
AUS,*,*,46000.0000,18167.0000
AUS,*,*,47000.0000,18550.0000
AUS,*,*,48000.0000,18933.0000
AUS,*,*,49000.0000,19316.0000
AUS,*,*,50000.0000,19699.0000
AUT,*,*,500.0000,1168.0000
AUT,*,*,1000.0000,1168.0000
AUT,*,*,1500.0000,1443.0000
AUT,*,*,2000.0000,1649.0000
AUT,*,*,2500.0000,1924.0000
AUT,*,*,3000.0000,2130.0000
AUT,*,*,3500.0000,2405.0000
AUT,*,*,4000.0000,2611.0000
AUT,*,*,4500.0000,2885.0000
AUT,*,*,5000.0000,3092.0000
AUT,*,*,5500.0000,3366.0000
AUT,*,*,6000.0000,3641.0000
AUT,*,*,6500.0000,3916.0000
AUT,*,*,7000.0000,4191.0000
AUT,*,*,7500.0000,4397.0000
AUT,*,*,8000.0000,4672.0000
AUT,*,*,8500.0000,4946.0000
AUT,*,*,9000.0000,5221.0000
AUT,*,*,9500.0000,5496.0000
AUT,*,*,10000.0000,5771.0000
AUT,*,*,11000.0000,6389.0000
AUT,*,*,12000.0000,7007.0000
AUT,*,*,13000.0000,7626.0000
AUT,*,*,14000.0000,8244.0000
AUT,*,*,15000.0000,8862.0000
AUT,*,*,16000.0000,9419.0000
AUT,*,*,17000.0000,9975.0000
AUT,*,*,18000.0000,10532.0000
AUT,*,*,19000.0000,11088.0000
AUT,*,*,20000.0000,11645.0000
AUT,*,*,21000.0000,12201.0000
AUT,*,*,22000.0000,12758.0000
AUT,*,*,23000.0000,13314.0000
AUT,*,*,24000.0000,13871.0000
AUT,*,*,25000.0000,14427.0000
AUT,*,*,26000.0000,14970.0000
AUT,*,*,27000.0000,15512.0000
AUT,*,*,28000.0000,16055.0000
AUT,*,*,29000.0000,16598.0000
AUT,*,*,30000.0000,17141.0000
AUT,*,*,31000.0000,17683.0000
AUT,*,*,32000.0000,18226.0000
AUT,*,*,33000.0000,18769.0000
AUT,*,*,34000.0000,19312.0000
AUT,*,*,35000.0000,19854.0000
AUT,*,*,36000.0000,20397.0000
AUT,*,*,37000.0000,20940.0000
AUT,*,*,38000.0000,21482.0000
AUT,*,*,39000.0000,22025.0000
